# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 328         Heerde      
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  328,19001221,   23,     
  328,19001222,   36,     
  328,19001223,    5,     
  328,19001224,    0,     
  328,19001225,    0,     
  328,19001226,    0,     
  328,19001227,    0,     
  328,19001228,    3,     
  328,19001229,   18,     
  328,19001230,  122,     
  328,19001231,   30,     
  328,19010101,  169,     
  328,19010102,   21,     
  328,19010103,    0,     
  328,19010104,    0,     
  328,19010105,    0,     
  328,19010106,    0,     
  328,19010107,    0,     
  328,19010108,    0,     
  328,19010109,    0,     
  328,19010110,    0,     
  328,19010111,    0,     
  328,19010112,    0,     
  328,19010113,    0,     
  328,19010114,    0,     
  328,19010115,    0,     
  328,19010116,    0,     
  328,19010117,    0,     
  328,19010118,    0,     
  328,19010119,    0,     
  328,19010120,    0,     
  328,19010121,   27,     
  328,19010122,   40,     
  328,19010123,    0,     
  328,19010124,   23,     
  328,19010125,    0,     
  328,19010126,    0,     
  328,19010127,    0,     
  328,19010128,   65,     
  328,19010129,   50,     
  328,19010130,  109,     
  328,19010131,   50,     
  328,19010201,   16,     
  328,19010202,    0,     
  328,19010203,    0,     
  328,19010204,    0,     
  328,19010205,    0,     
  328,19010206,    0,     
  328,19010207,    0,     
  328,19010208,    0,     
  328,19010209,    0,     
  328,19010210,    0,     
  328,19010211,    0,     
  328,19010212,    0,     
  328,19010213,    5,     
  328,19010214,    0,     
  328,19010215,    0,     
  328,19010216,   25,     
  328,19010217,    0,     
  328,19010218,   60,     
  328,19010219,   10,     
  328,19010220,    0,     
  328,19010221,    0,     
  328,19010222,    0,     
  328,19010223,    0,     
  328,19010224,    0,     
  328,19010225,   32,     
  328,19010226,   81,     
  328,19010227,   15,     
  328,19010228,   16,     
  328,19010301,   31,     
  328,19010302,    0,     
  328,19010303,  111,     
  328,19010304,  115,     
  328,19010305,   56,     
  328,19010306,   17,     
  328,19010307,   90,     
  328,19010308,  135,     
  328,19010309,   35,     
  328,19010310,    0,     
  328,19010311,    0,     
  328,19010312,    0,     
  328,19010313,    6,     
  328,19010314,    0,     
  328,19010315,    0,     
  328,19010316,   15,     
  328,19010317,    0,     
  328,19010318,   16,     
  328,19010319,    0,     
  328,19010320,   45,     
  328,19010321,   26,     
  328,19010322,    0,     
  328,19010323,    0,     
  328,19010324,    0,     
  328,19010325,    0,     
  328,19010326,    0,     
  328,19010327,   25,     
  328,19010328,    0,     
  328,19010329,   45,     
  328,19010330,   37,     
  328,19010331,    0,     
  328,19010401,    0,     
  328,19010402,  120,     
  328,19010403,   25,     
  328,19010404,    4,     
  328,19010405,  180,     
  328,19010406,    5,     
  328,19010407,    0,     
  328,19010408,   37,     
  328,19010409,    4,     
  328,19010410,    0,     
  328,19010411,   45,     
  328,19010412,   10,     
  328,19010413,  100,     
  328,19010414,   13,     
  328,19010415,   26,     
  328,19010416,   72,     
  328,19010417,   12,     
  328,19010418,   70,     
  328,19010419,   12,     
  328,19010420,    0,     
  328,19010421,    0,     
  328,19010422,    0,     
  328,19010423,    0,     
  328,19010424,    0,     
  328,19010425,    0,     
  328,19010426,    0,     
  328,19010427,    0,     
  328,19010428,    0,     
  328,19010429,  142,     
  328,19010430,    0,     
  328,19010501,    0,     
  328,19010502,   15,     
  328,19010503,    0,     
  328,19010504,   62,     
  328,19010505,    0,     
  328,19010506,    0,     
  328,19010507,    0,     
  328,19010508,   32,     
  328,19010509,   16,     
  328,19010510,    0,     
  328,19010511,    0,     
  328,19010512,   28,     
  328,19010513,    0,     
  328,19010514,    0,     
  328,19010515,    0,     
  328,19010516,    0,     
  328,19010517,    0,     
  328,19010518,    0,     
  328,19010519,    0,     
  328,19010520,    0,     
  328,19010521,    0,     
  328,19010522,    0,     
  328,19010523,    0,     
  328,19010524,    0,     
  328,19010525,    0,     
  328,19010526,    0,     
  328,19010527,   12,     
  328,19010528,    0,     
  328,19010529,    0,     
  328,19010530,    0,     
  328,19010531,    0,     
  328,19010601,   15,     
  328,19010602,   78,     
  328,19010603,   13,     
  328,19010604,    0,     
  328,19010605,   80,     
  328,19010606,    0,     
  328,19010607,    0,     
  328,19010608,    0,     
  328,19010609,    0,     
  328,19010610,    0,     
  328,19010611,    0,     
  328,19010612,    0,     
  328,19010613,    0,     
  328,19010614,   82,     
  328,19010615,   95,     
  328,19010616,   23,     
  328,19010617,    2,     
  328,19010618,   80,     
  328,19010619,   63,     
  328,19010620,    5,     
  328,19010621,    0,     
  328,19010622,    0,     
  328,19010623,    0,     
  328,19010624,    0,     
  328,19010625,    0,     
  328,19010626,   42,     
  328,19010627,    0,     
  328,19010628,    0,     
  328,19010629,    3,     
  328,19010630,    0,     
  328,19010701,    0,     
  328,19010702,  175,     
  328,19010703,   72,     
  328,19010704,    0,     
  328,19010705,    0,     
  328,19010706,    0,     
  328,19010707,    0,     
  328,19010708,    0,     
  328,19010709,    0,     
  328,19010710,    0,     
  328,19010711,    0,     
  328,19010712,    0,     
  328,19010713,    0,     
  328,19010714,    0,     
  328,19010715,   45,     
  328,19010716,    0,     
  328,19010717,    0,     
  328,19010718,    0,     
  328,19010719,    0,     
  328,19010720,    0,     
  328,19010721,    0,     
  328,19010722,   28,     
  328,19010723,    0,     
  328,19010724,   12,     
  328,19010725,    0,     
  328,19010726,    1,     
  328,19010727,    0,     
  328,19010728,    0,     
  328,19010729,  162,     
  328,19010730,    0,     
  328,19010731,    0,     
  328,19010801,    0,     
  328,19010802,    0,     
  328,19010803,    0,     
  328,19010804,    0,     
  328,19010805,    0,     
  328,19010806,    0,     
  328,19010807,    0,     
  328,19010808,  107,     
  328,19010809,    0,     
  328,19010810,    0,     
  328,19010811,    0,     
  328,19010812,    0,     
  328,19010813,  225,     
  328,19010814,    0,     
  328,19010815,    0,     
  328,19010816,    0,     
  328,19010817,  157,     
  328,19010818,    0,     
  328,19010819,    0,     
  328,19010820,    0,     
  328,19010821,    0,     
  328,19010822,    0,     
  328,19010823,    0,     
  328,19010824,    0,     
  328,19010825,    0,     
  328,19010826,    0,     
  328,19010827,    0,     
  328,19010828,   56,     
  328,19010829,   75,     
  328,19010830,   26,     
  328,19010831,    1,     
  328,19010901,    0,     
  328,19010902,   46,     
  328,19010903,    0,     
  328,19010904,    0,     
  328,19010905,    0,     
  328,19010906,    0,     
  328,19010907,    0,     
  328,19010908,    0,     
  328,19010909,    0,     
  328,19010910,  165,     
  328,19010911,   10,     
  328,19010912,    0,     
  328,19010913,   11,     
  328,19010914,    0,     
  328,19010915,    4,     
  328,19010916,  230,     
  328,19010917,   14,     
  328,19010918,    0,     
  328,19010919,  126,     
  328,19010920,    0,     
  328,19010921,    0,     
  328,19010922,    0,     
  328,19010923,    0,     
  328,19010924,    0,     
  328,19010925,    0,     
  328,19010926,    0,     
  328,19010927,    0,     
  328,19010928,    0,     
  328,19010929,    0,     
  328,19010930,    0,     
  328,19011001,    0,     
  328,19011002,    0,     
  328,19011003,    0,     
  328,19011004,    0,     
  328,19011005,   12,     
  328,19011006,    0,     
  328,19011007,   91,     
  328,19011008,  331,     
  328,19011009,  112,     
  328,19011010,  105,     
  328,19011011,   10,     
  328,19011012,    0,     
  328,19011013,   18,     
  328,19011014,    0,     
  328,19011015,    0,     
  328,19011016,    0,     
  328,19011017,    0,     
  328,19011018,    0,     
  328,19011019,    0,     
  328,19011020,    0,     
  328,19011021,    0,     
  328,19011022,   46,     
  328,19011023,    3,     
  328,19011024,    0,     
  328,19011025,    0,     
  328,19011026,   95,     
  328,19011027,    0,     
  328,19011028,    0,     
  328,19011029,    0,     
  328,19011030,    0,     
  328,19011031,    5,     
  328,19011101,    0,     
  328,19011102,    0,     
  328,19011103,    0,     
  328,19011104,    0,     
  328,19011105,    0,     
  328,19011106,    0,     
  328,19011107,    0,     
  328,19011108,    0,     
  328,19011109,    0,     
  328,19011110,   15,     
  328,19011111,   18,     
  328,19011112,   30,     
  328,19011113,   62,     
  328,19011114,  102,     
  328,19011115,   80,     
  328,19011116,    0,     
  328,19011117,    0,     
  328,19011118,    0,     
  328,19011119,    0,     
  328,19011120,   85,     
  328,19011121,  174,     
  328,19011122,  106,     
  328,19011123,    0,     
  328,19011124,    0,     
  328,19011125,    0,     
  328,19011126,    0,     
  328,19011127,   90,     
  328,19011128,   26,     
  328,19011129,    1,     
  328,19011130,    2,     
  328,19011201,   14,     
  328,19011202,    0,     
  328,19011203,    5,     
  328,19011204,   10,     
  328,19011205,    5,     
  328,19011206,    0,     
  328,19011207,    0,     
  328,19011208,   27,     
  328,19011209,  180,     
  328,19011210,  126,     
  328,19011211,    6,     
  328,19011212,   22,     
  328,19011213,    3,     
  328,19011214,    0,     
  328,19011215,   51,     
  328,19011216,   38,     
  328,19011217,    0,     
  328,19011218,    0,     
  328,19011219,    0,     
  328,19011220,   28,     
  328,19011221,    0,     
  328,19011222,   30,     
